rosbagTimestamp,fz,z
1634302046544440112,-10.626,0.148344168622
1634302046565898944,-10.974,0.148190062565
1634302046594525279,-11.467,0.14802542885
1634302046615796630,-11.78,0.147855884426
1634302046637433899,-12.07,0.147649125449
1634302046665921727,-12.319,0.147461614118
1634302046687441981,-12.431,0.147276149284
1634302046708828247,-12.437,0.147069468849
1634302046737296989,-12.249,0.146897981759
1634302046759928397,-11.935,0.146704822113
1634302046787462890,-11.38,0.146492761035
1634302046808631345,-10.852,0.146326627616
1634302046830135439,-10.273,0.146129464565
1634302046858573758,-9.489,0.145948160999
1634302046880388850,-8.826,0.145773404938
1634302046901677025,-8.163,0.145592573638
1634302046930022213,-7.109,0.145425683696
1634302046951571920,-6.434,0.145254135637
1634302046980199721,-5.516,0.145100314464
1634302047001690762,-4.921,0.144937735794
1634302047022964031,-4.296,0.144785289716
1634302047051742397,-3.619,0.144622104427
1634302047072960048,-3.188,0.14447020745
1634302047094709018,-2.833,0.144316406461
1634302047123084375,-2.519,0.144139742831
1634302047144467090,-2.414,0.143973746358
1634302047165908709,-2.415,0.14381504597
1634302047194429804,-2.486,0.143636591622
1634302047216012030,-2.578,0.143458403352
1634302047238951880,-2.739,0.143310829423
1634302047265766058,-3.028,0.143154009827
1634302047287631093,-3.229,0.142987044779
1634302047315817396,-3.545,0.142844302574
1634302047337334038,-3.84,0.142688224942
1634302047358674101,-4.181,0.142530315744
1634302047388713584,-4.682,0.14236601164
1634302047409903556,-5.012,0.142207412538
1634302047437537664,-5.48,0.142052134382
1634302047458914181,-5.898,0.14190540494
1634302047480315441,-6.316,0.141738769386
1634302047503523943,-6.842,0.14159018482
1634302047530137485,-7.497,0.141446131094
1634302047551758680,-7.985,0.141277824643
1634302047580244153,-8.647,0.141131446242
1634302047601539929,-9.178,0.140966067354
1634302047630213193,-9.988,0.140786341166
1634302047651586993,-10.588,0.140621019337
1634302047674026151,-11.275,0.140466326477
1634302047701783371,-12.312,0.140286544741
1634302047722909694,-13.114,0.140111564056
1634302047744646904,-14.072,0.139950732337
